source	target
'Igginbottom	Allan Holdsworth
'Til Tuesday	Aimee Mann
 Yung Berg	Juelz Santana
 Yung Berg	Love & Hip Hop: Hollywood
!!!	James Murphy (electronic musician)
!!!	Nic Offer
!!!	Out Hud
"Weird Al" Yankovic	Dr. Demento
:INXS	Jimmy Barnes
:INXS	Michael Hutchence
:pt:Chico Science	Chico Science
+44 (band)	Blink-182
+44 (band)	Expensive Taste
+44 (band)	Juliette and the Licks
+44 (band)	Lars Frederiksen and the Bastards
+44 (band)	Mark Hoppus
+44 (band)	Mercy Killers
+44 (band)	The Nervous Return
+44 (band)	Transplants (band)
+44 (band)	Travis Barker
+44 (band)	TRV$DJAM
1-A Düsseldorf	Klaus Dinger
1 of the Girls (group)	LeVert
10 Minute Warning	Skin Yard
10 Minute Warning	The Fartz
10,000 Maniacs	R.E.M.
1000 Homo DJs	Buck Satan and the 666 Shooters
1000 Homo DJs	Ministry (band)
1000 Homo DJs	Trent Reznor
1017 Brick Squad	Pastor Troy
10cc	Doctor Father
10cc	Eric Stewart
10cc	Graham Gouldman
112 (band)	Quinnes Parker (musician)
112 (band)	Sean Combs
112 (band)	The Notorious B.I.G.
113 (band)	Mokobé
116 Clique	Lecrae
1349 (band)	Gorgoroth
1349 (band)	Satyricon (band)
1500 or Nothin'	James Fauntleroy
1500 or Nothin'	The Game (rapper)
2-4 Family	S Club 7
2 Chainz	DJ Mustard
2 Chainz	Drake (rapper)
2 Chainz	Drake_(rapper)
2 Chainz	FKi (production team)
2 Chainz	Iamsu!
2 Chainz	Jack Ü
2 Chainz	Jordin Sparks
2 Chainz	Kanye West
2 Chainz	Mike Will Made It
2 Chainz	TeeFlii
2 Face Idibia	D-Black
2 Live Crew	Ice-T
2 Live Crew	Luther Campbell
213 (group)	Nate Dogg
213 (group)	Warren G
21st Century Schizoid Band	Ian McDonald (musician)
21st Century Schizoid Band	King Crimson
2face Idibia	Akon
2face Idibia	Aṣa
2face Idibia	Beenie Man
2face Idibia	Blackface Naija
2face Idibia	Bridget Kelly
2face Idibia	Davido
2face Idibia	Fally Ipupa
2face Idibia	Faze (musician)
2face Idibia	Ice Prince
2face Idibia	M.I
2face Idibia	Mary J. Blige
2face Idibia	Oritse Femi
2face Idibia	Plantashun Boyz
2face Idibia	R. Kelly
2face Idibia	Reggie Rockstone
2face Idibia	Ruggedman
2face Idibia	Sasha P
2face Idibia	Sound Sultan
2face Idibia	T-Pain
2face Idibia	Vector (musician)
2face Idibia	Victor Uwaifo
2face Idibia	Wyclef Jean
2nd Chapter of Acts	Barry McGuire
2nd Chapter of Acts	Matthew Ward (singer)
2Pac	DeVante Swing
2pac	Dru Down
2Pac	Jodeci
2Pac	K-Ci & JoJo
2Pac	N.W.A
2Pac	Nate Dogg
2Pac	Shock G
2Pac	Stretch (rapper)
3 (American band)	Coheed and Cambria
3 (American band)	Joey Eppard
3 Doors Down	Bob Seger
3 Doors Down	Nickelback
3 Doors Down	Puddle of Mudd
3 Doors Down	Shinedown
311 (band)	Nick Hexum
311 (band)	No Doubt
311 (band)	Slightly Stoopid
311 (band)	Sublime (band)
311 (band)	The Dirty Heads
311 (band)	The Hold Steady
311 (band)	Zack Hexum
38 Special (band)	Don Barnes
38 Special (band)	Donnie Van Zant
38 Special (band)	Lynyrd Skynyrd
38 Special (band)	Trace Adkins
3rd Bass	KMD
3rd Bass	MC Serch
3rd Bass	Prince Paul (producer)
3rdeyegirl	Hannah Welton
